policy,step,total_bits,exported_bits,retained_bits,contraction_bits,sorted_bits,destroyed_bits,step_efficiency,cumulative_efficiency,capacity_bits,record_entropy_bits,sector_exported_bits,protected_leakage_bits,bandwidth_slack_bits
late_completion,21,1.584972,1.584972,0.000000,0.000000,0.000000,0.000000,,0.500003,2.000000,0.000000,1.584963,0.000010,0.000000
late_completion,22,1.584972,1.584972,0.000000,0.000000,0.000000,0.000000,,0.500003,2.000000,0.000000,1.584963,0.000010,0.000000
late_completion,23,1.584972,1.584972,0.000000,0.000000,0.000000,0.000000,,0.500003,2.000000,0.000000,1.584963,0.000010,0.000000
late_completion,24,1.584972,1.584972,0.000000,0.000000,0.000000,0.000000,,0.500003,2.000000,0.000000,1.584963,0.000010,0.000000
stalled_remnant,0,3.169925,0.000000,3.169925,0.000000,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,
stalled_remnant,1,3.169925,0.475489,2.694436,0.475489,0.475489,0.000000,1.000000,1.000000,2.000000,1.356780,0.475489,0.000000,0.000000
stalled_remnant,2,3.169925,0.808331,2.361594,0.332842,0.332842,0.000000,1.000000,1.000000,2.000000,1.108554,0.808331,0.000000,0.000000
stalled_remnant,3,3.169925,1.041320,2.128605,0.232989,0.232989,0.000000,1.000000,1.000000,2.000000,0.856793,1.041320,0.000000,0.000000
stalled_remnant,4,3.169925,1.204413,1.965512,0.163093,0.163093,0.000000,1.000000,1.000000,2.000000,0.637158,1.204413,0.000000,0.000000
stalled_remnant,5,3.169925,1.318578,1.851347,0.114165,0.114165,0.000000,1.000000,1.000000,2.000000,0.462415,1.318578,0.000000,0.000000
stalled_remnant,6,3.169925,1.398493,1.771432,0.079915,0.079915,0.000000,1.000000,1.000000,2.000000,0.330658,1.398493,0.000000,0.000000
stalled_remnant,7,3.169925,1.454434,1.715491,0.055941,0.055941,0.000000,1.000000,1.000000,2.000000,0.234361,1.454434,0.000000,0.000000
stalled_remnant,8,3.169925,1.493593,1.676332,0.039159,0.039159,0.000000,1.000000,1.000000,2.000000,0.165245,1.493593,0.000000,0.000000
stalled_remnant,9,3.169925,1.521004,1.648921,0.027411,0.027411,0.000000,1.000000,1.000000,2.000000,0.116157,1.521004,0.000000,0.000000
stalled_remnant,10,3.169925,1.540191,1.629734,0.019188,0.019188,0.000000,1.000000,1.000000,2.000000,0.081507,1.540191,0.000000,0.000000
stalled_remnant,11,3.169925,1.584963,1.584963,0.044771,0.044771,0.000000,1.000000,1.000000,2.000000,0.086035,1.584963,0.000000,0.000000
stalled_remnant,12,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.038357,1.584963,0.000000,0.000000
stalled_remnant,13,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.015343,1.584963,0.000000,0.000000
stalled_remnant,14,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.006137,1.584963,0.000000,0.000000
stalled_remnant,15,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.002455,1.584963,0.000000,0.000000
stalled_remnant,16,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000982,1.584963,0.000000,0.000000
stalled_remnant,17,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000393,1.584963,0.000000,0.000000
stalled_remnant,18,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000157,1.584963,0.000000,0.000000
stalled_remnant,19,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000063,1.584963,0.000000,0.000000
stalled_remnant,20,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000025,1.584963,0.000000,0.000000
stalled_remnant,21,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000010,1.584963,0.000000,0.000000
stalled_remnant,22,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000004,1.584963,0.000000,0.000000
stalled_remnant,23,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000002,1.584963,0.000000,0.000000
stalled_remnant,24,3.169925,1.584963,1.584963,0.000000,0.000000,0.000000,,1.000000,2.000000,0.000001,1.584963,0.000000,0.000000
