access_probability,capture_probability,useless_noise,context_correlation,needed_access_mi_bits,protected_leakage_cmi_bits,protected_remainder_bits,record_innovation_bits,structured_fraction,needed_access_norm,protected_leakage_norm,protected_remainder_norm,record_burden,self_limiting_score,regime
0.9500000000000001,0.0,0.08,0.35,0.9500000000000001,0.0,0.9097361225311662,1.316396957115956,0.7216668155184124,0.9500000000000001,0.0,1.0,0.04239750925927144,0.6565164430240935,protected_forgetting_interval
0.96,0.0,0.08,0.35,0.96,1.1102230246251565e-16,0.9097361225311662,1.282292189082415,0.748659321310347,0.96,1.2203791815325238e-16,0.9999999999999999,0.04027340451721684,0.689767931152925,protected_forgetting_interval
0.97,0.0,0.08,0.35,0.97,0.0,0.9097361225311661,1.2443918578315762,0.7794972250061811,0.97,0.0,1.0,0.037973014636005775,0.7274004445081266,protected_forgetting_interval
0.98,0.0,0.08,0.35,0.98,0.0,0.9097361225311662,1.2014405425418206,0.8156874729120334,0.98,0.0,1.0,0.03544312927690063,0.7710414172328625,protected_forgetting_interval
0.99,0.0,0.08,0.35,0.99,1.1102230246251565e-16,0.909736122531166,1.1507931358959111,0.8602762469809736,0.99,1.220379181532524e-16,0.9999999999999999,0.032566046031742846,0.8239378466105584,protected_forgetting_interval
1.0,0.0,0.08,0.35,1.0,0.0,0.9097361225311662,1.08,0.9259259259259258,1.0,0.0,1.0,0.02873894973424218,0.899315787283109,protected_forgetting_interval
0.0,0.01,0.08,0.35,0.0009026387746884357,0.009097361225311684,0.9006387613058544,0.1707931358959112,0.00528498273630003,0.0009026387746884357,0.010000000000000026,0.99,0.0007289915381912815,4.7192832106111145e-06,dissolution_no_record
0.01,0.01,0.08,0.35,0.01089361238694142,0.009097361225311684,0.9006387613058545,0.2615772454040755,0.04164587164343498,0.01089361238694142,0.010000000000000024,0.99,0.0017091041979948596,0.0004483696210197809,dissolution_unstructured_record
0.02,0.01,0.08,0.35,0.020884585999194627,0.009097361225311684,0.9006387613058545,0.33221562566223817,0.06286455056881603,0.020884585999194627,0.010000000000000024,0.99,0.002755377508266821,0.0012961897514420055,dissolution_unstructured_record
0.03,0.01,0.08,0.35,0.030875559611447834,0.009097361225311684,0.9006387613058544,0.3951579145642468,0.07813473670518606,0.030875559611447834,0.010000000000000026,0.99,0.0038961347310929595,0.0023790239313753667,dissolution_unstructured_record
0.04,0.01,0.08,0.35,0.04086653322370082,0.009097361225311684,0.9006387613058545,0.45304921942733856,0.09020329684124999,0.04086653322370082,0.010000000000000024,0.99,0.005118197045834827,0.003630754549435409,dissolution_unstructured_record
0.05,0.01,0.08,0.35,0.050857506835954025,0.009097361225311795,0.9006387613058543,0.5071449610731331,0.1002819918161823,0.050857506835954025,0.010000000000000148,0.9899999999999999,0.006409272714447245,0.005016730161244637,transition
0.06,0.01,0.08,0.35,0.06084848044820723,0.009097361225311462,0.9006387613058545,0.5581838967239063,0.10901152972226395,0.06084848044820723,0.009999999999999783,0.9900000000000002,0.007758974111603312,0.0065159020248178575,transition
0.07,0.01,0.08,0.35,0.07083945406046033,0.009097361225311573,0.9006387613058545,0.6066536020819063,0.11677084553253185,0.07083945406046033,0.009999999999999903,0.9900000000000001,0.009158517759892737,0.008114261606517166,transition
0.08,0.01,0.08,0.35,0.0808304276727132,0.009097361225311684,0.9006387613058546,0.6529001149962088,0.12380213422566567,0.0808304276727132,0.010000000000000023,0.99,0.01060037974700534,0.00980189265715943,transition
0.09,0.01,0.08,0.35,0.09082140128496641,0.009097361225311573,0.9006387613058546,0.6971817154702922,0.1302693390685121,0.09082140128496641,0.009999999999999903,0.9900000000000001,0.012078026565671363,0.011571462381910931,transition
0.1,0.01,0.08,0.35,0.10081237489721939,0.009097361225311684,0.9006387613058545,0.7396984656077235,0.13628847372881014,0.10081237489721939,0.010000000000000024,0.99,0.013585715215312377,0.01341737386547305,transition
0.11,0.01,0.08,0.35,0.1108033485094726,0.009097361225311684,0.9006387613058545,0.7806098037952235,0.14194460275897267,0.1108033485094726,0.010000000000000024,0.99,0.015118344417054952,0.015335255346486658,transition
0.12,0.01,0.08,0.35,0.1207943221217258,0.009097361225311684,0.9006387613058545,0.820045684530313,0.147301942319118,0.1207943221217258,0.010000000000000024,0.99,0.016671342210397233,0.01732163509437265,transition
