scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime,s1,s2,s3,rank_ell,Rprime_bound_cells,c3_meas
moderate_shear,0.65,-1.27136611,0.89729358,0.5603167281,2.347049222,2.836049204,2.758330916,2705.5,11.226394,1.152724,1,0.89729358,0.89729358,0.69592825,3,791.62585,3.41765
moderate_shear,0.7,-1.35309648,0.88459724,0.5247490518,2.198063688,2.752231283,2.664305142,2553.25,11.142709,1.161591,1,0.88459724,0.88459724,0.67059529,3,747.03953,3.417825
moderate_shear,0.75,-1.4424459,0.8710876,0.4893439879,2.049759303,2.670890556,2.572440785,2392.5,11.050422,1.16721,1,0.8710876,0.8710876,0.64489736,3,702.44649,3.405953
moderate_shear,0.8,-1.5406316,0.85672695,0.4541958255,1.902531025,2.59195381,2.48271271,2230.0,10.951257,1.172123,1,0.85672695,0.85672695,0.61881137,3,657.94706,3.38933
moderate_shear,0.85,-1.64913966,0.8414728,0.4194023352,1.756788393,2.515349999,2.395095785,2084.0,10.85017,1.186256,1,0.8414728,0.8414728,0.59231221,3,613.64548,3.396098
moderate_shear,0.9,-1.76980415,0.82527691,0.3850649866,1.612956444,2.441010171,2.309564878,1943.75,10.743154,1.205085,1,0.82527691,0.82527691,0.56537245,3,569.65021,3.412182
moderate_shear,0.95,-1.90491593,0.80808416,0.3512892006,1.471476762,2.368867418,2.226094855,1784.5,10.620764,1.212727,1,0.80808416,0.80808416,0.53796201,3,526.07422,3.392107
moderate_shear,1.0,-2.05737518,0.78983108,0.3181846429,1.332808716,2.298856806,2.144660585,1630.0,10.488305,1.222981,1,0.78983108,0.78983108,0.51004768,3,483.03536,3.374494
moderate_shear,1.05,-2.23090956,0.77044392,0.2858655725,1.19743091,2.230915319,2.065236934,1484.5,10.349364,1.239737,1,0.77044392,0.77044392,0.48159258,3,440.65678,3.368835
moderate_shear,1.1,-2.43039358,0.74983615,0.2544512562,1.065842929,2.164981807,1.987798769,1340.0,10.191455,1.257221,1,0.74983615,0.74983615,0.4525555,3,399.06745,3.357828
